colors	Bannagalu
black	Kappu
white	bili
gray	thizi
blue	neeli
green	hasiru
brown	kandhu
purple	nerale
red	kempu
orange	kesari
yellow	harishina
Days	dinagalu
Monday	somavaara
Tuesday	mangala vaara
can I come?	naanu barabahude
is he sleeping?	avanu niddhe maduthaiddhaneye?
do you know me?	ninage naanu gothha
do you have my book?	ninna bali nanna pustaka idheya
how big is it?	adhu eshtu dhoddadhu
can I help you?	naanu nimage sahaya madabahude
can you help me?	nanage sahaya maduthhira
do you speak English?	neevu inglish mathanadutthira
how far is this?	idhu esthu doora ide
what time is it?	eega esthu ghante
how much is this?	idhu esthu doora ide
what is your name?	ninna hesaru yenu
where do you live?	neevu elli vaasisutheera
I can accept that	naanu adhannu thegedhu kollaballe
she added it	avalu adhakke haakidhalu
Wednesday	bhudha vaara
Thursday	guru vaara
Friday	shukkra vaara
Saturday	shani vaara
Sunday	bhanu vaara
yesterday	niinne
today	indhu
tomorrow	naale
here	illi
there	alli
quickly	thakshana
slowly	nidhanaavagi
always	yavaagalu
sometimes	yavaagaladharu
never	illave illa
one	ondhu
two	yeradu
three	mooru
four	naalku
five	aidhu
six	aaru
seven	yelu
eight	entu
nine	ombathu
ten	hatthu
head	thale
face	mukha
hair	koodalu
eye	kannu
ear	kivi
nose	moogu
mouth	baayi
tooth	hallu
arm	bhujha
hand	kaiy
heart	hrudaya
stomach	hotte
leg	kaalu
foot	paadha
Food	oota
bread	breadu
cheese	cheesu
meat	mamsa
chicken	koli mamsa
fish	meenu
sandwich	sandwhichu
salad	saladu
salt	uppu
candy	sweetu
fruit	hannu
apple	sebu
banana	bale hannu
oranges	kitthale
grapes	dhrakshi
strawberries	strawberry
vegetables	tharakarigalu
carrot	karrattu
onions	eerulli
potatoes	aloogadde
tomatoes	tomatoes
breakfast	uphahara
lunch	oota
dinner	rathri oota
cat	bekkku
dog	naayi
mouse	ili
cow	hasu
horse	kudure
alligator	mosale
rabbit	mola
bird	pakshi
bear	karadi
eagle	haddhu
elephant	aane
giraffe	giraffe
lion	simha
monkey	kothi
snake	haavu
tiger	huli
pharmacy	oushadhalaya
restaurant	hotelu
house	mane
room	roomu
bathroom	bacchaalu mane
toilet	shauchalaya
bedroom	kone
kitchen	adige mane
floor	nela
roof	chavani
ceiling	chavani
wall	gode
window	kitaki
objects	vasthugalu
shampoo	shampoo
soap	saabunu
towel	tholina vasthra
toothbrush	dhantha shubraka
toothpaste	dhantha shubraka
bed	mancha
refrigerator	fridge
table	meju
cup	kappu
fork	forku
knife	katthi
spoon	chamacha
plate	thatte
furniture	mejugalu
chair	kurchi
desk	meju
telephone	dooravani
newspaper	dina pathrike
pen	pennu
pencil	pencillu
paper	kagadha
scissors	katthari
picture	chitra
clothes	battegalu
coat	kotu
hat	topi
jacket	jackettu
pants	pantu
shoes	bootu
umbrella	chatri
socks	kaicheela
after	aamele
before	aagale
below	kelage
on top of	adhara mele
for	adhakkagi
from	adharindha
inside	olagindha
outside	horagade
under	kelage
until	alliyavaregu
with	jothe
without	illadhe
near	hatthira
far from	adhrindha dhoora
behind	hindhe
in front of	athara mundhe
because of	adhakkagi
about	bagge
this	idhu
that	adhu
how?	hege?
what?	yenu?
who?	yaaru?
why?	yaake?
where?	yelli?
can I help you?	naanu nimage sahaya madabahude
can you help me?	nanage sahaya maduthhira
do you speak English?	neevu inglish mathanadutthira
what time is it?	eega esthu ghante
how much is this?	idhu esthu doora ide
what is your name?	ninna hesaru yenu
beach	beechu
island	dweepa
desert	marubhoomi
mountain	betta
forest	kaadu
tree	maraa
flowers	hoovugalu
garden	udhyana
river	nadhi
lake	sarovara
sea	samudhra
sky	aakasha
stars	nakshathragalu
moon	chandra
earth	bhoomi
weather	havaamaana
windy	gaali
cloudy	modaa kavidha
raining	malee barthaidhe
cold	thaange
snowing	himapaatha
sunny	suryakavidha
hot	bisi
autumn	sharath
winter	chaligala
spring	shishira
summer	besige
people	janaru
husband	ganda
wife	hendathi
father	thandhe
mother	amma
son	maga
daughter	magalu
brother	thamma/anna(younger/elder)
grandfather	thaatha
grandmother	ajji
one	ondhu,
some	kelavu
few	halavu
the book	pusthaka
the books	pusthakagalu
a book	ondhu pusthaka
one book	ondhu pusthaka
some books	kela pusthakagalu
few books	hala pusthakagalu
English Vocabulary	Kannada Vocabulary
Food	oota
almonds	badhami
bread	breadu
breakfast	uphahara
butter	beene
candy	sweetu
cheese	cheesu
chicken	koli mamsa
cumin	jeerige
dessert	sihi
dinner	rathri oota
fish	meenu
fruit	hannu
ice cream	ice creamu
lamb	meke mamsa
lemon	nimbe hannu
lunch	oota
meal	oota
meat	mamsa
oven	ovennu
pepper	menasu
plants	gidagalu
pork	handhi mamsa
salad	saladu
salt	uppu
sandwich	sandwhichu
sausage	sausaju
soup	soopu
sugar	sakkare
supper	rathri oota
turkey	turkey koli
apple	sebu
banana	bale hannu
oranges	kitthale
peaches	peachu
peanut	kadale kai
pears	perala hannu
pineapple	pine appleu
grapes	dhrakshi
strawberries	strawberry
vegetables	tharakarigalu
carrot	karrattu
corn	jola
cucumber	southekai
garlic	bellulli
lettuce	elekosu
olives	olive
onions	eerulli
peppers	menasu
potatoes	aloogadde
pumpkin	kumbalakai
beans	beansu
tomatoes	tomatoes
my car	nanna kaaru
green car	hasiru kaaru
three cars	mooru kaaru
car garage	gyareju
outside the car	karina horage
arm	bhujha
back	bennu
cheeks	kenne
chest	edhe
chin	galla
ear	kivi
elbow	kaiy
eye	kannu
face	mukha
finger	beralu
fingers	beralugalu
foot	paadha
